block_number,tx_hash,log_index,user,amount_raw,amount_tokens
40898342,0xd3929774f9061ff4e648dcbf77407849d38057a52f38eb058b8d8f101d4af243,942,0xbec8a9b6207de19b1a85ac03f9e6ca427445f2a5,2137403,2.137403
40898870,0x0e6f5558ad626c50690d10fc812be67286b36caa210f3aea1e7ef6e95f6ef5e0,462,0x78472fb8c4537d136774b813920f71d97611c6db,88796,0.088796
40900677,0xafe3b1c77d69f929adf8550a641f3583120ac75b636ee2b70ee60e4eb4fff3a2,604,0x77536a60a37e579be9ece8400859eda563701245,61,6.1e-05
40902011,0x5231d22ce136668bd31c419d829426e3cd300e00ad7f3253db5cbd3070d97046,12,0xc17b70c31b277759e52c89f9b8331a66d97359c1,27,2.7e-05
40902347,0x4e7bea63f90ced0b8c0f2c4a25cf8ef91129d767694b4ca47326417366755fb7,1524,0xf55c6eb20ff6e71ad862e0adfddbb47abed75b78,2758054,2.758054
40905478,0xf82c8da5e17e9b584fad25b03316a32c7cf1d135c87b833fd251f1dcfbd195df,791,0xc01e9a41004bfe0611d79ff6ccf554bbbb3b044e,4851488,4.851488
40907050,0xccfcbd9395a639b0e3612c21e5e63f5d87993d63b6ef8b5ee8314bc58578f8a1,748,0xcca7ed881b62f442197798128ab435084d8c3150,4109251,4.109251
40907678,0xf62b1311d00f7932b7852dc559ea53fbd994bd6e2e300376e78a617453ac55ef,588,0xeb9d176232d537b7ed67832d8ee4af44a6b53fea,14280,0.01428
40909903,0xb1806dba8d5f867604f2302a09a09d84b214a4ee59cda62f56f40808093f124b,365,0x1031e37ad13d6e5a89e27abb766395d128c31f4e,3680,0.00368
40910612,0xfe48de7f45fcfe666da9f1c7f937d27224324fac1cce2d392f612ba280467fcb,1807,0x8d452c1f4bae385b13933c83ecff70d74229915f,25000000,25.0
40911711,0x942d79b75f53e7513730ca6a5cca31770656185dd521d90573307c104954651e,288,0x51992168a27bd03521cd47668c7f71edaa7fd753,25000000,25.0
